,name,code
0,JS전선,005560.KS
1,거북선2호,101380.KS
2,거북선6호,114140.KS
3,교보메리츠,064900.KS
4,국제관광공사,028780.KS
5,굿리치경매1,085450.KS
6,그린손해보험,000470.KS
7,극동건설,000980.KS
8,금성산업,028930.KS
9,금호케미칼,014740.KS
10,기라정보통신,019930.KS
11,나라종금,016390.KS
12,뉴맥스,014080.KS
13,대덕GDS,004130.KS
14,대한종금,009030.KS
15,동국무역,004420.KS
16,동부일렉트로닉스,001830.KS
17,동북아14호선박투자,083390.KS
18,동북아9호,083120.KS
19,동아콘크리트공업,029230.KS
20,두산상사,000090.KS
21,라이프주택,010530.KS
22,마이다스성일,035590.KS
23,미성건설,028400.KS
24,보람은행,008890.KS
25,보루네오가구,004740.KS
26,삼보증권,029150.KS
27,삼성신약,003400.KS
28,삼양제넥스,003940.KS
29,서울교통공사,000730.KS
30,세원화성,007910.KS
31,송원칼라,011450.KS
32,스마텔,004190.KS
33,신승기업,028980.KS
34,신정제지,018690.KS
35,신한은행,000010.KS
36,신호전자,008190.KS
37,신호페이퍼,012190.KS
38,아시아7호,082260.KS
39,아시아퍼시픽11호,083580.KS
40,아시아퍼시픽12호,083590.KS
41,아시아퍼시픽15호,083620.KS
42,알바트로스,034180.KS
43,알앤엘바이오,003190.KS
44,에스지신성건설,001970.KS
45,에이치비이에너지,017300.KS
46,엘아이지건설(주),012720.KS
47,연합과기,900030.KS
48,영풍산업,002850.KS
49,우성건설,008640.KS
50,우진건설산업,029110.KS
51,우진전기,012050.KS
52,유리이에스,007050.KS
53,이지닷컴,012260.KS
54,장기은행,005020.KS
55,제일종금,012500.KS
56,제일화재해상보험,000610.KS
57,조선맥주,034380.KS
58,중앙제지,005600.KS
59,중앙종금,008990.KS
60,지비베트남1,094950.KS
61,캠브리지코오롱,004620.KS
62,케니상사,028560.KS
63,코리아01호,090970.KS
64,태림페이퍼,019300.KS
65,트러스제7호,140890.KS
66,티엘씨레저,014590.KS
67,팬택앤큐리텔,063350.KS
68,평안섬유공업,028360.KS
69,플래티넘1호,034580.KS
70,한국생사,028380.KS
71,한국운수,028750.KS
72,한국코아,010150.KS
73,한길종금,014430.KS
74,한솔아트원제지,007190.KS
75,한솔종금,010220.KS
76,한주전자,007000.KS
77,한주화학,010970.KS
78,한화기계,000930.KS
79,한화화인케미칼,025850.KS
80,현대DSF,016510.KS
81,현대반도체,029890.KS
82,현대하이스코,010520.KS
83,화인자산관리,010460.KS
84,흥양,010030.KS
85,DSR,155660.KS
86,GS,078930.KS
87,GS글로벌,001250.KS
88,HDC현대산업개발,294870.KS
89,LG이노텍,011070.KS
90,LG전자,066570.KS
91,LG헬로비전,037560.KS
92,OCI,010060.KS
93,S&TC,100840.KS
94,S&T모티브,064960.KS
95,SK네트웍스,001740.KS
96,SK이노베이션,096770.KS
97,STX,011810.KS
98,WISCOM,024070.KS
99,갤럭시아에스엠,011420.KS
100,경동인베스트,012320.KS
101,고려아연,010130.KS
102,국보,001140.KS
103,극동유화,014530.KS
104,까뮤이앤씨,013700.KS
105,남양유업,003920.KS
106,대영포장,014160.KS
107,대한해운,005880.KS
108,동아쏘시오홀딩스,000640.KS
109,동양,001520.KS
110,동화약품,000020.KS
111,두산,000150.KS
112,락앤락,115390.KS
113,마니커,027740.KS
114,메리츠증권,008560.KS
115,모두투어리츠,204210.KS
116,부국증권,001270.KS
117,삼성SDI,006400.KS
118,삼성바이오로직스,207940.KS
119,삼성출판사,068290.KS
120,삼성화재해상보험,000810.KS
121,삼양홀딩스,000070.KS
122,삼영전자공업,005680.KS
123,삼영화학공업,003720.KS
124,상상인증권,001290.KS
125,선도전기,007610.KS
126,선진,136490.KS
127,세방전지,004490.KS
128,세원셀론텍,091090.KS
129,신한알파리츠,293940.KS
130,신한지주,055550.KS
131,에넥스,011090.KS
132,에스원,012750.KS
133,영화금속,012280.KS
134,원림,005820.KS
135,윌비스,008600.KS
136,유나이티드,033270.KS
137,인지컨트롤스,023800.KS
138,인터지스,129260.KS
139,일성건설,013360.KS
140,일진다이아,081000.KS
141,제일약품,271980.KS
142,제일연마,001560.KS
143,제일파마홀딩스,002620.KS
144,제주항공,089590.KS
145,조흥,002600.KS
146,지역난방공사,071320.KS
147,진도,088790.KS
148,컨버즈,109070.KS
149,코오롱인더,120110.KS
150,태경산업,015890.KS
151,태광산업,003240.KS
152,태양금속공업,004100.KS
153,포스코강판,058430.KS
154,포스코케미칼,003670.KS
155,폴루스바이오팜,007630.KS
156,필룩스,033180.KS
157,한국공항,005430.KS
158,한국제지,002300.KS
159,한국종합기술,023350.KS
160,한국철강,104700.KS
161,한국패러랠,168490.KS
162,한라홀딩스,060980.KS
163,한미사이언스,008930.KS
164,한미약품,128940.KS
165,한솔로지스틱스,009180.KS
166,한일철강,002220.KS
167,한일현대시멘트,006390.KS
168,한창제지,009460.KS
169,한화생명,088350.KS
170,현대건설,000720.KS
171,현대건설기계,267270.KS
172,현대모비스,012330.KS
173,현대비앤지스틸,004560.KS
174,현대엘리베이터,017800.KS
175,현대차증권,001500.KS
176,현대홈쇼핑,057050.KS
177,호전실업,111110.KS
178,호텔신라,008770.KS
179,효성중공업,298040.KS
180,LG종금,008810.KS
181,거북선4호,108890.KS
182,경남에너지,008020.KS
183,경동산업,002940.KS
184,경일화학공업,028580.KS
185,국민은행_(합병전),023130.KS
186,금강피혁,013040.KS
187,금성투자금융,028450.KS
