Date,High,Low,Open,Close,Gap,Positive,Negative
2019-04-01,45450.0,44850.0,45200.0,45050.0,0.0,23.0,21.0
2019-04-02,46100.0,45350.0,45550.0,45750.0,650.0,23.0,17.0
2019-04-03,46750.0,45800.0,46750.0,46600.0,650.0,35.0,28.0
2019-04-04,47100.0,46150.0,46150.0,46950.0,350.0,27.0,48.0
2019-04-05,47550.0,46600.0,46950.0,46850.0,450.0,30.0,40.0
2019-04-08,47250.0,46150.0,47250.0,46650.0,-300.0,24.0,16.0
2019-04-09,46950.0,46200.0,46700.0,46650.0,-300.0,42.0,22.0
2019-04-10,46700.0,46050.0,46400.0,46700.0,-250.0,29.0,12.0
2019-04-11,46800.0,46150.0,46700.0,46250.0,100.0,17.0,13.0
2019-04-12,46900.0,46000.0,46050.0,46850.0,100.0,33.0,25.0
2019-04-15,47500.0,47000.0,47150.0,47050.0,600.0,18.0,15.0
2019-04-16,47400.0,46800.0,47400.0,47250.0,-100.0,37.0,27.0
2019-04-17,47600.0,47000.0,47300.0,47050.0,200.0,19.0,14.0
2019-04-18,47250.0,45500.0,47200.0,45600.0,-350.0,45.0,35.0
2019-04-19,46000.0,45250.0,45750.0,45300.0,-1250.0,25.0,22.0
2019-04-22,45900.0,45100.0,45400.0,45350.0,-100.0,34.0,54.0
2019-04-23,45500.0,45000.0,45050.0,45200.0,-400.0,25.0,25.0
2019-04-24,45650.0,44150.0,45400.0,44750.0,150.0,35.0,29.0
2019-04-25,45000.0,44100.0,44250.0,44650.0,-650.0,30.0,23.0
2019-04-26,45000.0,43800.0,44200.0,44850.0,0.0,29.0,37.0
2019-04-29,46150.0,45100.0,45150.0,46150.0,1150.0,20.0,28.0
2019-04-30,46300.0,45350.0,46000.0,45850.0,150.0,34.0,40.0
2019-05-02,46150.0,45400.0,45500.0,45900.0,-150.0,25.0,21.0
2019-05-03,46050.0,45300.0,45900.0,45300.0,-100.0,27.0,20.0
2019-05-07,45300.0,44400.0,45250.0,44850.0,-750.0,21.0,22.0
2019-05-08,44850.0,44200.0,44300.0,44250.0,-450.0,30.0,21.0
2019-05-09,44250.0,42450.0,43900.0,42450.0,-600.0,21.0,19.0
2019-05-10,43450.0,42450.0,42600.0,42900.0,-800.0,30.0,23.0
2019-05-13,43200.0,42350.0,42500.0,42650.0,-250.0,26.0,19.0
2019-05-14,43100.0,41300.0,41300.0,42650.0,-100.0,17.0,15.0
2019-05-15,43050.0,42550.0,42700.0,42550.0,-50.0,23.0,25.0
2019-05-16,42400.0,41350.0,42350.0,41550.0,-650.0,30.0,34.0
2019-05-17,42050.0,40850.0,41950.0,41200.0,-350.0,30.0,24.0
2019-05-20,42100.0,41550.0,41650.0,42000.0,50.0,34.0,41.0
2019-05-21,43950.0,42350.0,42600.0,43150.0,1850.0,38.0,53.0
2019-05-22,43800.0,42400.0,43700.0,43500.0,-150.0,43.0,40.0
2019-05-23,44000.0,43250.0,43900.0,43850.0,200.0,34.0,39.0
2019-05-24,43800.0,42400.0,43800.0,42700.0,-200.0,44.0,24.0
2019-05-27,43000.0,42350.0,42500.0,42650.0,-800.0,24.0,36.0
2019-05-28,42950.0,42150.0,42550.0,42550.0,-50.0,36.0,43.0
2019-05-29,42100.0,41300.0,41850.0,41800.0,-850.0,19.0,17.0
2019-05-30,42700.0,42150.0,42200.0,42550.0,600.0,43.0,22.0
2019-05-31,42800.0,42150.0,42600.0,42500.0,100.0,20.0,15.0
2019-06-03,43900.0,42500.0,42950.0,43800.0,1100.0,31.0,11.0
2019-06-04,43700.0,43000.0,43400.0,43450.0,-200.0,29.0,24.0
2019-06-05,44200.0,43700.0,44050.0,43900.0,500.0,21.0,18.0
2019-06-07,44350.0,43450.0,43600.0,44200.0,150.0,47.0,22.0
2019-06-10,44850.0,44050.0,44300.0,44800.0,500.0,15.0,32.0
2019-06-11,45000.0,44550.0,44800.0,44850.0,150.0,31.0,37.0
2019-06-12,45050.0,44300.0,44800.0,44600.0,50.0,25.0,15.0
2019-06-13,44400.0,43400.0,44200.0,43750.0,-650.0,42.0,45.0
2019-06-14,44150.0,43300.0,43750.0,44000.0,-250.0,29.0,16.0
2019-06-17,44050.0,43400.0,43750.0,43900.0,-100.0,38.0,28.0
2019-06-18,44500.0,43650.0,43750.0,44350.0,450.0,35.0,32.0
2019-06-19,45450.0,45000.0,45450.0,45350.0,950.0,34.0,49.0
2019-06-20,45500.0,44850.0,44850.0,45500.0,50.0,31.0,27.0
2019-06-21,45800.0,45200.0,45750.0,45700.0,300.0,29.0,20.0
2019-06-24,45800.0,45200.0,45200.0,45500.0,0.0,30.0,39.0
2019-06-25,45800.0,45200.0,45200.0,45600.0,0.0,27.0,40.0
2019-06-26,46000.0,45600.0,45800.0,45700.0,200.0,27.0,33.0
2019-06-27,46600.0,45750.0,46000.0,46500.0,600.0,20.0,20.0
2019-06-28,47000.0,46700.0,47000.0,47000.0,400.0,30.0,19.0
2019-07-01,47400.0,46250.0,47350.0,46600.0,400.0,27.0,30.0
2019-07-02,46900.0,45850.0,46200.0,46250.0,-500.0,48.0,34.0
2019-07-03,46350.0,45200.0,45750.0,45400.0,-550.0,38.0,52.0
2019-07-04,46200.0,45250.0,45250.0,46000.0,-150.0,26.0,30.0
2019-07-05,45950.0,45250.0,45950.0,45650.0,-250.0,49.0,58.0
2019-07-08,44800.0,44350.0,44750.0,44400.0,-1150.0,38.0,30.0
2019-07-09,45450.0,44700.0,44850.0,45100.0,650.0,32.0,32.0
2019-07-10,46150.0,45500.0,45550.0,45550.0,700.0,30.0,30.0
2019-07-11,46550.0,46150.0,46350.0,46200.0,400.0,37.0,45.0
2019-07-12,46400.0,45800.0,46350.0,46300.0,-150.0,31.0,27.0
2019-07-15,46650.0,45750.0,45950.0,46450.0,250.0,26.0,31.0
2019-07-16,46850.0,46300.0,46450.0,46850.0,200.0,26.0,34.0
2019-07-17,46350.0,45950.0,46150.0,46050.0,-500.0,27.0,33.0
2019-07-18,46450.0,45650.0,46450.0,46100.0,100.0,41.0,27.0
2019-07-19,46950.0,46600.0,46650.0,46800.0,500.0,25.0,22.0
2019-07-22,47300.0,46600.0,46800.0,47200.0,350.0,28.0,27.0
2019-07-23,47550.0,47050.0,47350.0,47300.0,250.0,31.0,31.0
2019-07-24,47150.0,46250.0,47100.0,46400.0,-400.0,30.0,27.0
